metric,A0-v1-repro,A1-varinit,A2-clip1,A3-nowd,A4-scales,A5-slr3e-2,A6-rellr0.3,A7-rellr1.0,A8-dlr4e-3,A9-dlr2e-2,fp32
params,"49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200"
steps,500,500,500,500,500,500,500,500,500,500,500
tokens seen,"8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000"
wall time (s),387.0,348.1,348.3,348.5,350.1,350.5,350.1,349.2,350.6,349.7,338.2
avg tok/s (steps),"22,576","23,844","23,830","23,817","23,709","23,683","23,709","23,769","23,671","23,734","24,549"
final train loss,6.6002,6.3859,6.3380,6.3646,6.3627,6.2642,6.5293,6.8309,6.1764,6.6735,5.9808
best val loss,6.4814,6.2660,6.2254,6.2492,6.2481,6.1438,6.4114,6.6869,6.0731,6.5532,5.8948
final val loss,6.4814,6.2660,6.2254,6.2492,6.2481,6.1438,6.4114,6.6869,6.0731,6.5532,5.8948
final val ppl,652.85,526.39,505.40,517.61,517.01,465.83,608.76,801.80,434.01,701.45,363.15
peak GPU mem MB,"8,567","8,626","8,568","8,626","8,571","8,571","8,627","8,631","8,627","8,627","8,819"
avg GPU mem MB,"2,277","2,279","2,278","2,279","2,281","2,281","2,280","2,280","2,280","2,280","2,529"
persistent train MB,287.2,287.2,287.2,287.2,289.9,289.9,289.9,289.9,289.9,289.9,905.6
inference MB,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,301.9
linear train bits/weight,18.60,18.60,18.60,18.60,19.35,19.35,19.35,19.35,19.35,19.35,96.00
linear infer bits/weight,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,32.00
train compression vs FP32,1.96,1.96,1.96,1.96,1.94,1.94,1.94,1.94,1.94,1.94,1.00
inference compression vs FP32,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,2.30,1.00
mean grad norm,0.0542,0.0524,0.0535,0.0524,0.0514,0.0472,0.0583,0.0975,0.0396,0.0673,0.4848
mean transition rate,0.01202,0.01108,0.01295,0.01331,0.01517,0.01392,0.01445,0.03468,0.01002,0.02650,n/a
mean |QPEFA residual|,0.049501,0.045947,0.018162,0.018336,0.020048,0.017790,0.018554,0.023651,0.016261,0.022367,n/a
final scale/init ratio,1.000,1.000,1.000,1.000,0.957,0.951,0.967,0.979,0.959,0.972,n/a
skipped steps,0,0,0,0,0,0,0,0,0,0,0
