metric,C0-base,C1-emb,C2-emb-q4,C3-emb-m4,C4-emb-q4m4,C10-q4m4,C5-dlr2e-3,C6-dlr1e-3,C7-emb-dlr2e-3,C8-slr1e-1,C9-ternary,fp32
params,"49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200"
steps,500,500,500,500,500,500,500,500,500,500,500,500
tokens seen,"8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000"
wall time (s),404.4,363.7,363.6,363.5,363.8,365.0,365.0,365.1,363.0,364.1,361.9,353.3
avg tok/s (steps),"21,452","22,823","22,827","22,835","22,816","22,738","22,741","22,735","22,866","22,796","22,933","23,495"
final train loss,6.2706,5.9996,6.2023,6.0818,6.1615,6.3770,6.1728,6.1671,6.0710,6.6015,6.2487,5.9818
best val loss,6.1578,5.9126,6.0988,5.9863,6.0580,6.2590,6.0676,6.0547,5.9818,6.4889,6.1329,5.8990
final val loss,6.1578,5.9126,6.0988,5.9863,6.0580,6.2590,6.0676,6.0547,5.9818,6.4889,6.1329,5.8990
final val ppl,472.39,369.68,445.30,397.94,427.53,522.69,431.62,426.11,396.16,657.77,460.75,364.68
peak GPU mem MB,"8,569","8,548","8,548","8,548","8,548","8,574","8,574","8,627","8,548","8,574","8,574","8,819"
avg GPU mem MB,"2,279","2,117","2,117","2,117","2,117","2,281","2,281","2,281","2,117","2,281","2,281","2,529"
persistent train MB,289.9,113.5,90.1,90.1,66.6,261.4,289.9,289.9,113.5,289.9,288.4,563.3
inference MB,81.7,13.2,13.2,13.2,13.2,81.7,81.7,81.7,13.2,81.7,80.2,187.8
linear train bits/weight,19.35,19.34,15.34,15.34,11.34,11.35,19.35,19.35,19.34,19.35,18.94,96.00
linear infer bits/weight,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,1.83,32.00
train compression vs FP32,1.94,4.96,6.25,6.25,8.46,2.15,1.94,1.94,4.96,1.94,1.95,1.00
inference compression vs FP32,2.30,14.20,14.20,14.20,14.20,2.30,2.30,2.30,14.20,2.30,2.34,1.00
mean grad norm,0.0407,0.0345,0.0362,0.0339,0.0342,0.0414,0.0318,0.0268,0.0286,0.0771,0.0378,0.4854
mean transition rate,0.01117,0.00768,0.00780,0.00776,0.00795,0.01057,0.00840,0.00590,0.00586,0.00892,0.00815,n/a
mean |QPEFA residual|,0.017155,0.164136,0.161636,0.174675,0.168810,0.019531,0.013941,0.011431,0.125564,0.024336,0.018437,n/a
final scale/init ratio,0.957,0.966,0.972,0.969,0.965,0.962,0.963,0.969,0.969,1.688,0.963,n/a
skipped steps,0,0,0,0,0,0,0,0,0,0,0,0
