metric,D0-base,D0b-base-rep,D1-emb,D2-fp32emb-lr4e-3,D3-fp32emb-lr4e-3-nowd,D4-fp32emb-nowd,D5-emb-m4,D6-emb-q4m4,D7-emb-dlr8e-3,D8-emb-dlr2e-3,fp32
params,"49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200","49,219,200"
steps,500,500,500,500,500,500,500,500,500,500,500
tokens seen,"8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000","8,192,000"
wall time (s),384.3,369.4,369.2,369.8,369.4,369.8,369.9,369.7,369.5,369.8,363.3
avg tok/s (steps),"22,257","22,469","22,483","22,444","22,470","22,445","22,439","22,453","22,466","22,450","22,855"
final train loss,6.1997,6.3080,6.1002,6.1676,6.1987,6.2391,6.0521,6.1501,6.1288,6.0496,5.9815
best val loss,6.0977,6.1942,6.0059,6.0632,6.0971,6.1315,5.9625,6.0545,6.0235,5.9659,5.8972
final val loss,6.0977,6.1942,6.0059,6.0632,6.0971,6.1315,5.9625,6.0545,6.0235,5.9659,5.8972
final val ppl,444.83,489.92,405.83,429.76,444.55,460.14,388.57,426.04,413.00,389.89,364.01
peak GPU mem MB,"8,569","8,574","8,548","8,574","8,574","8,574","8,548","8,548","8,548","8,548","8,819"
avg GPU mem MB,"2,279","2,281","2,117","2,281","2,281","2,281","2,117","2,117","2,117","2,117","2,529"
persistent train MB,289.9,289.9,113.5,289.9,289.9,289.9,90.1,66.6,113.5,113.5,563.3
inference MB,81.7,81.7,13.2,81.7,81.7,81.7,13.2,13.2,13.2,13.2,187.8
linear train bits/weight,19.35,19.35,19.34,19.35,19.35,19.35,15.34,11.34,19.34,19.34,96.00
linear infer bits/weight,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,32.00
train compression vs FP32,1.94,1.94,4.96,1.94,1.94,1.94,6.25,8.46,4.96,4.96,1.00
inference compression vs FP32,2.30,2.30,14.20,2.30,2.30,2.30,14.20,14.20,14.20,14.20,1.00
mean grad norm,0.0403,0.0422,0.0366,0.0404,0.0412,0.0404,0.0327,0.0346,0.0393,0.0288,0.4862
mean transition rate,0.00996,0.01047,0.00716,0.00973,0.00957,0.01113,0.00782,0.00820,0.00992,0.00586,n/a
mean |QPEFA residual|,0.016178,0.016879,0.155067,0.015634,0.015804,0.017064,0.174271,0.172220,0.220511,0.123646,n/a
final scale/init ratio,0.962,0.968,0.975,0.966,0.968,0.956,0.970,0.961,0.975,0.970,n/a
skipped steps,0,0,0,0,0,0,0,0,0,0,0
