metric,duobit-v3-emb,duobit-v3-emb-rep,duobit-v3-emb-m4,duobit-v2-dense,fp32,fp16
params,"77,161,984","77,161,984","77,161,984","77,161,984","77,161,984","77,161,984"
steps,"3,000","3,000","3,000","3,000","3,000","3,000"
tokens seen,"49,152,000","49,152,000","49,152,000","49,152,000","49,152,000","49,152,000"
wall time (s),"3,505.0","3,469.2","3,469.5","3,478.2","3,354.1","1,406.8"
avg tok/s (steps),"14,364","14,458","14,457","14,418","14,962","36,744"
final train loss,5.0482,4.9961,5.0597,5.0815,4.6143,4.6146
best val loss,5.0425,4.9836,5.0467,5.0785,4.5987,4.5983
final val loss,5.0425,4.9836,5.0467,5.0785,4.5987,4.5983
final val ppl,154.86,146.00,155.51,160.54,99.36,99.31
peak GPU mem MB,"10,163","10,162","10,162","10,183","10,220","8,580"
avg GPU mem MB,"2,419","2,419","2,419","2,633","3,067","2,285"
persistent train MB,177.8,177.8,141.0,413.1,883.0,883.0
inference MB,20.7,20.7,20.7,112.0,294.3,196.3
linear train bits/weight,19.32,19.32,15.32,19.33,96.00,96.00
linear infer bits/weight,2.25,2.25,2.25,2.25,32.00,16.00
train compression vs FP32,4.97,4.97,6.26,2.14,1.00,1.00
inference compression vs FP32,14.20,14.20,14.20,2.63,1.00,1.50
mean grad norm,0.0255,0.0241,0.0233,0.0295,0.4512,0.4491
mean transition rate,0.00923,0.01036,0.01006,0.01620,n/a,n/a
mean |QPEFA residual|,0.217174,0.234572,0.243859,0.015841,n/a,n/a
final scale/init ratio,0.898,0.876,0.878,0.828,n/a,n/a
skipped steps,0,0,0,0,0,0
